idVisit,serverTime,timeSpent,actionCategory,actionName,userName,department,team,title,organization,name,country
199549,2016-12-15 09:52:13,,WebNei clicked,LTE3290,Advent  ,MN Mobile Networks,MN RN CS Netw&amp;Knowledge Eng2,"Specialist, Software Development",MN Radio Networks,Advent  ,Poland
199603,2016-12-15 10:29:35,57,WebNei clicked,IoT - Internet of Things - Introduction,Advent  ,MN Mobile Networks,MN RN CS Netw&amp;Knowledge Eng2,"Specialist, Software Development",MN Radio Networks,Advent  ,Poland
199603,2016-12-15 10:30:44,172,WebNei clicked,Introduction to Virtualization and Telco Cloud,Advent  ,MN Mobile Networks,MN RN CS Netw&amp;Knowledge Eng2,"Specialist, Software Development",MN Radio Networks,Advent  ,Poland
199603,2016-12-15 10:33:36,3,Category filtering Clicked,5G,Advent  ,MN Mobile Networks,MN RN CS Netw&amp;Knowledge Eng2,"Specialist, Software Development",MN Radio Networks,Advent  ,Poland
199603,2016-12-15 10:33:39,479,Category filtering Clicked,LTE,Advent  ,MN Mobile Networks,MN RN CS Netw&amp;Knowledge Eng2,"Specialist, Software Development",MN Radio Networks,Advent  ,Poland
199615,2016-12-15 10:35:38,346,Category filtering Clicked,5G,Advent Rising  ,MN Mobile Networks,MN RN CS Netw&amp;Knowledge Eng5,"Specialist, Network Engineering",MN Radio Networks,Advent Rising  ,Poland
199615,2016-12-15 10:41:24,6,Order filtering Clicked,Creation date,Advent Rising  ,MN Mobile Networks,MN RN CS Netw&amp;Knowledge Eng5,"Specialist, Network Engineering",MN Radio Networks,Advent Rising  ,Poland
199615,2016-12-15 10:41:30,4,Order filtering Clicked,TOP position,Advent Rising  ,MN Mobile Networks,MN RN CS Netw&amp;Knowledge Eng5,"Specialist, Network Engineering",MN Radio Networks,Advent Rising  ,Poland
199615,2016-12-15 10:41:34,8,Order filtering Clicked,Creation date,Advent Rising  ,MN Mobile Networks,MN RN CS Netw&amp;Knowledge Eng5,"Specialist, Network Engineering",MN Radio Networks,Advent Rising  ,Poland
199603,2016-12-15 10:41:38,70,Top filtering Clicked,top,Advent  ,MN Mobile Networks,MN RN CS Netw&amp;Knowledge Eng2,"Specialist, Software Development",MN Radio Networks,Advent  ,Poland
